cusip,investmentdiscretion,nameofissuer,othermanager,putcall,shrsorprnamt,titleofclass,value,votingauthority
594918104,SOLE,MICROSOFT CORP,1,Call,,COM,74611500,
60471A101,SOLE,MIRION TECHNOLOGIES INC,1,,,COM CL A,1543701,
55318A108,SOLE,MNTN INC,1,,,CL A,2187000,
62482R107,SOLE,MR COOPER GROUP INC,1,,,COM,2972562,
65290E101,SOLE,NEXTRACKER INC,1,,,CLASS A COM,1359250,
654106103,SOLE,NIKE INC,1,,,CL B,21476813,
666807102,SOLE,NORTHROP GRUMMAN CORP,1,,,COM,13999440,
67066G104,SOLE,NVIDIA CORPORATION,1,,,COM,85360733,
67066G104,SOLE,NVIDIA CORPORATION,1,Call,,COM,23698500,
67066G104,SOLE,NVIDIA CORPORATION,1,Put,,COM,47397000,
679295AF2,SOLE,OKTA INC,1,,,NOTE 0.375% 6/1,10087427,
679295AD7,SOLE,OKTA INC,1,,,NOTE 0.125% 9/0,42799136,
680033107,SOLE,OLD NATL BANCORP IND,1,,,COM,18260318,
68170A108,SOLE,OMADA HEALTH INC,1,,,COM,640500,
68278B107,SOLE,ONESTREAM INC,1,,,CL A,17710140,
690742101,SOLE,OWENS CORNING NEW,1,,,COM,13375333,
69331CAL2,SOLE,PG&E CORP,1,,,NOTE 4.250%12/0,163908569,
732908108,SOLE,PONY AI INC,1,,,SPONSORED ADS,28097560,
741623102,SOLE,PRIMO BRANDS CORPORATION,1,,,CLASS A COM SHS,22505276,
753422AF1,SOLE,RAPID7 INC,1,,,NOTE 0.250% 3/1,67194625,
753422104,SOLE,RAPID7 INC,1,,,COM,5871435,
753422104,SOLE,RAPID7 INC,1,Call,,COM,8898111,
75737F108,SOLE,REDFIN CORP,1,,,COM,1060700,
76954AAB9,SOLE,RIVIAN AUTOMOTIVE INC,1,,,NOTE 4.625% 3/1,151263407,
76954AAD5,SOLE,RIVIAN AUTOMOTIVE INC,1,,,NOTE 3.625%10/1,31477730,
77311W101,SOLE,ROCKET COS INC,1,,,COM CL A,3545000,
75513E101,SOLE,RTX CORPORATION,1,,,COM,10483506,
781154109,SOLE,RUBRIK INC.,1,,,CL A,597744,
78781J109,SOLE,SAILPOINT INC,1,,,COM,30912092,
79466L302,SOLE,SALESFORCE INC,1,,,COM,106288017,
80004C200,SOLE,SANDISK CORP,1,,,COM,23891514,
81369Y704,SOLE,SELECT SECTOR SPDR TR,1,Put,,INDL,103264000,
81369Y308,SOLE,SELECT SECTOR SPDR TR,1,Put,,SBI CONS STPLS,113358000,
81764X103,SOLE,SERVICETITAN INC,1,,,SHS CL A,10718000,
82489W107,SOLE,SHOALS TECHNOLOGIES GROUP IN,1,Call,,CL A,10625000,
82489W107,SOLE,SHOALS TECHNOLOGIES GROUP IN,1,,,CL A,2593524,
830566105,SOLE,SKECHERS U S A INC,1,,,CL A,15775000,
831349105,SOLE,SLIDE INS HLDGS INC,1,,,COM,5415000,
83192D402,SOLE,SMARTSTOP SELF STORAG REIT I,1,,,COMMON STOCK,11898946,
G8267P108,SOLE,SMURFIT WESTROCK PLC,1,,,SHS,322787329,
83304AAH9,SOLE,SNAP INC,1,,,NOTE 0.125% 3/0,8679719,
83304AAF3,SOLE,SNAP INC,1,,,NOTE 5/0,1359936,
83304AAB2,SOLE,SNAP INC,1,,,NOTE 0.750% 8/0,45594243,
833445109,SOLE,SNOWFLAKE INC,1,,,CL A,61164844,
88023U101,SOLE,SOMNIGROUP INTERNATIONAL INC,1,,,COM,43193308,
842587DZ7,SOLE,SOUTHERN CO,1,,,NOTE 4.500% 6/1,84647990,
78462F103,SOLE,SPDR S&P 500 ETF TR,1,,,TR UNIT,29519637,
78462F103,SOLE,SPDR S&P 500 ETF TR,1,Call,,TR UNIT,61785000,
78462F103,SOLE,SPDR S&P 500 ETF TR,1,Put,,TR UNIT,332094375,
78464A474,SOLE,SPDR SERIES TRUST,1,,,PORTFOLIO SHORT,963816,
H8088L103,SOLE,SPORTRADAR GROUP AG,1,,,CLASS A ORD SHS,28562639,
84921RAB6,SOLE,SPOTIFY USA INC,1,,,NOTE 3/1,215932613,
85205L107,SOLE,SPRINGWORKS THERAPEUTICS INC,1,,,COM,23588463,
85423L103,SOLE,STANDARDAERO INC,1,,,COM,84878464,
86771WAD7,SOLE,SUNRUN INC,1,,,NOTE 4.000% 3/0,36744865,
86771W105,SOLE,SUNRUN INC,1,Call,,COM,77710000,
86771W105,SOLE,SUNRUN INC,1,Put,,COM,8180000,
87165B103,SOLE,SYNCHRONY FINANCIAL,1,,,COM,7672497,
874039100,SOLE,TAIWAN SEMICONDUCTOR MFG LTD,1,,,SPONSORED ADS,28419512,
88160R101,SOLE,TESLA INC,1,,,COM,1019371,
B9151N105,SOLE,TITAN AMER SA,1,,,COMMON SHARES,5945547,
87256C101,SOLE,TKO GROUP HOLDINGS INC,1,,,CL A,61047500,
872657101,SOLE,TPG INC,1,,,COM CL A,17614546,
896818101,SOLE,TRIUMPH GROUP INC NEW,1,,,COM,11825507,
90353T100,SOLE,UBER TECHNOLOGIES INC,1,,,COM,50234213,
90353T100,SOLE,UBER TECHNOLOGIES INC,1,Put,,COM,37320000,
903731107,SOLE,UL SOLUTIONS INC,1,,,CLASS A COM SHS,55125585,
91324P102,SOLE,UNITEDHEALTH GROUP INC,1,,,COM,31197000,
91324P102,SOLE,UNITEDHEALTH GROUP INC,1,Put,,COM,31197000,
92556V106,SOLE,VIATRIS INC,1,,,COM,109866,
931427108,SOLE,WALGREENS BOOTS ALLIANCE INC,1,,,COM,8610000,
94419LAP6,SOLE,WAYFAIR INC,1,,,NOTE 3.250% 9/1,42734214,
946784105,SOLE,WAYSTAR HLDG CORP,1,,,COM,13615963,
958102105,SOLE,WESTERN DIGITAL CORP,1,,,COM,8595329,
977852AB8,SOLE,WOLFSPEED INC,1,,,NOTE 0.250% 2/1,9547500,
977852AD4,SOLE,WOLFSPEED INC,1,,,NOTE 1.875%12/0,5025000,
225447AD3,SOLE,WOLFSPEED INC,1,,,NOTE 1.750% 5/0,3768750,
977852102,SOLE,WOLFSPEED INC,1,Call,,COM,216748,
980745103,SOLE,WOODWARD INC,1,,,COM,20202033,
